id,title,year,price,msrp,km,gear,fuel,color,delivery_weeks,image,highlights,sold
n1,BYD Atto 3,2025,149900,159900,0,אוטומט,חשמלי,לבן,2,https://images.unsplash.com/photo-1619767886558-efdc259cde1f?q=80&w=1600&auto=format&fit=crop,"קטגוריה: חשמלי|קרוסאובר קומפקטי, בטיחות מתקדמת, טעינה מהירה DC|אחריות יצרן|סיוע נהג מתקדם|ליווי עד ואחרי המסירה",no
n2,BYD Dolphin,2025,129900,139900,0,אוטומט,חשמלי,שחור,3,https://images.unsplash.com/photo-1549924231-f129b911e442?q=80&w=1600&auto=format&fit=crop,"קטגוריה: חשמלי|האצ'בק חכם, טווח שימושי, רכב עירוני מצוין|אחריות יצרן|סיוע נהג מתקדם|ליווי עד ואחרי המסירה",no
n3,BYD Seal,2025,189900,199900,0,אוטומט,חשמלי,אפור,4,https://images.unsplash.com/photo-1618843479314-0164913fd9ae?q=80&w=1600&auto=format&fit=crop,"קטגוריה: חשמלי|סדאן ביצועים, הנעה אחורית, עיצוב פרימיום|אחריות יצרן|סיוע נהג מתקדם|ליווי עד ואחרי המסירה",no
n4,Geely Geometry C,2025,139900,149900,0,אוטומט,חשמלי,כחול,5,https://images.unsplash.com/photo-1616422285623-13ff0162193c?q=80&w=1600&auto=format&fit=crop,"קטגוריה: חשמלי|קרוסאובר חשמלי, אבזור עשיר, טווח יומיומי|אחריות יצרן|סיוע נהג מתקדם|ליווי עד ואחרי המסירה",no
n5,MG 4,2025,134900,144900,0,אוטומט,חשמלי,אדום,6,https://images.unsplash.com/photo-1519622956251-c9bb7132326f?q=80&w=1600&auto=format&fit=crop,"קטגוריה: חשמלי|האצ'בק חשמלית, דינמית וחסכונית, אחריות ארוכה|אחריות יצרן|סיוע נהג מתקדם|ליווי עד ואחרי המסירה",no
n6,MG ZS EV,2025,144900,154900,0,אוטומט,חשמלי,כסוף,8,https://images.unsplash.com/photo-1517677208171-0bc6725a3e60?q=80&w=1600&auto=format&fit=crop,"קטגוריה: חשמלי|קרוסאובר חשמלי משפחתי, נוחות גבוהה|אחריות יצרן|סיוע נהג מתקדם|ליווי עד ואחרי המסירה",no
n7,Tesla Model 3,2025,199900,209900,0,אוטומט,חשמלי,לבן,2,https://images.unsplash.com/photo-1511391038070-9da940707cd0?q=80&w=1600&auto=format&fit=crop,"קטגוריה: חשמלי|סדאן טכנולוגית, אוטופיילוט, עדכוני OTA|אחריות יצרן|סיוע נהג מתקדם|ליווי עד ואחרי המסירה",no
n8,Tesla Model Y,2025,229900,239900,0,אוטומט,חשמלי,שחור,3,https://images.unsplash.com/photo-1549921296-3ecf54f4e0f2?q=80&w=1600&auto=format&fit=crop,"קטגוריה: חשמלי|קרוסאובר חשמלי, מרווח משפחתי, ביצועים חזקים|אחריות יצרן|סיוע נהג מתקדם|ליווי עד ואחרי המסירה",no
n9,Hyundai Kona Electric,2025,167900,177900,0,אוטומט,חשמלי,אפור,4,https://images.unsplash.com/photo-1502877338535-766e1452684a?q=80&w=1600&auto=format&fit=crop,"קטגוריה: חשמלי|עירוני-משפחתי, מסכי מולטימדיה מתקדמים|אחריות יצרן|סיוע נהג מתקדם|ליווי עד ואחרי המסירה",no
n10,Hyundai Ioniq 5,2025,239900,249900,0,אוטומט,חשמלי,כחול,5,https://images.unsplash.com/photo-1550353127-b0da3aeaa0ca?q=80&w=1600&auto=format&fit=crop,"קטגוריה: חשמלי|פלטפורמת E-GMP, טעינת 800V, עיצוב רטרו-מודרני|אחריות יצרן|סיוע נהג מתקדם|ליווי עד ואחרי המסירה",no
